2026-05-20 11:43:54 | INFO    | Backtest: 2025-09-02 → 2026-04-30 | symbols=['QQQ'] | size=$1000
2026-05-20 11:44:00 | INFO    | --- 2025-09-02 (55 bars) ---
2026-05-20 11:44:00 | DEBUG   | QQQ | State 0→1 | break DN -2.05 SD
2026-05-20 11:44:01 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=False ratio_ok=True
2026-05-20 11:44:01 | DEBUG   | QQQ | State 0→1 | break DN -1.09 SD
2026-05-20 11:44:01 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0413 ratio=0.798
2026-05-20 11:44:01 | INFO    | Position opened | QQQ long | 1 shares @ 561.09 | $561
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=4
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=5
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=6
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=7
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=8
2026-05-20 11:44:01 | INFO    | QQQ | State 2→0 | TP hit at 562.43
2026-05-20 11:44:01 | INFO    | Position closed | QQQ long | exit=562.43 | P&L=$1.34 | reason=TP
2026-05-20 11:44:01 | DEBUG   | QQQ | State 0→1 | break UP 1.08 SD
2026-05-20 11:44:01 | DEBUG   | QQQ | State 1→0 | filters failed slope_ok=True ratio_ok=False
2026-05-20 11:44:01 | INFO    | 2025-09-02 done | running P&L: $1.34
2026-05-20 11:44:01 | INFO    | --- 2025-09-03 (55 bars) ---
2026-05-20 11:44:01 | DEBUG   | QQQ | State 0→1 | break DN -1.22 SD
2026-05-20 11:44:01 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0277 ratio=0.696
2026-05-20 11:44:01 | INFO    | Position opened | QQQ long | 1 shares @ 569.64 | $570
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=1
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=2
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=3
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=4
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=5
2026-05-20 11:44:01 | DEBUG   | QQQ | State 2 | bars_in_position=6
2026-05-20 11:44:01 | INFO    | QQQ | State 2→0 | stall exit | progress=-42.5%
2026-05-20 11:44:01 | INFO    | Position closed | QQQ long | exit=569.51 | P&L=$-0.13 | reason=TP
2026-05-20 11:44:01 | DEBUG   | QQQ | State 0→1 | break DN -1.10 SD
2026-05-20 11:44:01 | INFO    | QQQ | State 1→2 | enter_long | slope=-0.0286 ratio=0.803
