entry_time,exit_time,symbol,direction,entry_price,exit_price,shares,pnl,exit_reason
2025-10-01 12:25 EDT,2025-10-01 13:15 EDT,AAPL,short,256.0650,256.0300,3,0.11,TP
2025-10-02 11:50 EDT,2025-10-02 11:55 EDT,QQQ,long,603.8600,604.6125,1,0.75,TP
2025-10-02 12:10 EDT,2025-10-02 12:45 EDT,QQQ,short,604.4900,604.3100,1,0.18,TP
2025-10-03 11:55 EDT,2025-10-03 12:05 EDT,AAPL,short,258.4300,258.2800,3,0.45,TP
2025-10-03 12:45 EDT,2025-10-03 13:05 EDT,SPY,short,672.2800,670.9200,1,1.36,TP
2025-10-06 11:55 EDT,2025-10-06 12:15 EDT,AAPL,long,257.3750,256.8600,3,-1.54,SL
2025-10-06 12:45 EDT,2025-10-06 13:20 EDT,AAPL,long,257.1600,256.6400,3,-1.56,SL
2025-10-07 12:30 EDT,2025-10-07 12:40 EDT,AAPL,long,256.3300,256.4450,3,0.35,TP
2025-10-07 14:20 EDT,2025-10-07 14:30 EDT,AAPL,long,256.0300,256.0500,3,0.06,EOD
2025-10-08 12:45 EDT,2025-10-08 12:50 EDT,AAPL,short,258.0100,257.8550,3,0.46,TP
2025-10-09 12:20 EDT,2025-10-09 12:45 EDT,QQQ,short,609.8600,609.3700,1,0.49,TP
2025-10-09 14:20 EDT,2025-10-09 14:30 EDT,QQQ,long,608.9500,608.6993,1,-0.25,EOD
2025-10-14 12:10 EDT,2025-10-14 12:20 EDT,AAPL,short,246.8800,247.4900,4,-2.44,SL
2025-10-14 14:10 EDT,2025-10-14 14:30 EDT,AAPL,short,247.3200,247.5400,4,-0.88,EOD
2025-10-15 13:50 EDT,2025-10-15 14:30 EDT,AAPL,long,249.2300,249.8200,4,2.36,EOD
2025-10-17 11:45 EDT,2025-10-17 11:50 EDT,QQQ,long,599.1700,600.1700,1,1.00,TP
2025-10-17 11:55 EDT,2025-10-17 12:00 EDT,AAPL,long,249.5500,249.5400,4,-0.04,TP
2025-10-21 12:40 EDT,2025-10-21 12:55 EDT,AAPL,long,263.3100,262.8750,3,-1.31,SL
2025-10-21 14:20 EDT,2025-10-21 14:30 EDT,QQQ,short,611.5101,612.0250,1,-0.51,EOD
2025-10-24 12:35 EDT,2025-10-24 12:55 EDT,QQQ,short,617.6300,618.0150,1,-0.38,SL
2025-10-24 13:00 EDT,2025-10-24 14:30 EDT,AAPL,short,263.1000,264.0700,3,-2.91,EOD
2025-10-27 12:10 EDT,2025-10-27 12:15 EDT,AAPL,long,265.9150,265.9700,3,0.17,TP
2025-10-27 13:25 EDT,2025-10-27 13:45 EDT,QQQ,short,626.4400,627.1300,1,-0.69,SL
2025-10-28 12:05 EDT,2025-10-28 12:10 EDT,SPY,long,685.7050,685.9900,1,0.28,TP
2025-10-28 13:50 EDT,2025-10-28 14:30 EDT,AAPL,short,268.9300,268.9500,3,-0.06,EOD
2025-10-29 11:55 EDT,2025-10-29 12:05 EDT,SPY,long,688.3300,687.6250,1,-0.71,SL
2025-10-29 12:30 EDT,2025-10-29 13:05 EDT,QQQ,long,635.1500,635.5100,1,0.36,TP
2025-10-29 13:45 EDT,2025-10-29 14:30 EDT,QQQ,long,635.2832,635.5952,1,0.31,EOD
2025-10-30 12:10 EDT,2025-10-30 12:15 EDT,SPY,long,684.7700,685.0800,1,0.31,TP
2025-10-30 12:35 EDT,2025-10-30 12:40 EDT,SPY,short,684.0000,684.0000,1,0.00,TP
2025-10-30 13:30 EDT,2025-10-30 13:50 EDT,SPY,long,684.4000,684.5400,1,0.14,TP
2025-10-31 13:55 EDT,2025-10-31 14:25 EDT,SPY,long,681.2100,682.3601,1,1.15,TP
2025-11-03 12:35 EST,2025-11-03 12:40 EST,AAPL,short,267.3300,267.4005,3,-0.21,TP
2025-11-03 14:00 EST,2025-11-03 14:20 EST,QQQ,short,632.5550,631.7900,1,0.76,TP
2025-11-03 14:30 EST,2025-11-03 14:30 EST,AAPL,short,267.3200,267.3300,3,-0.03,EOD
2025-11-05 12:10 EST,2025-11-05 12:35 EST,AAPL,short,269.5400,270.2600,3,-2.16,SL
2025-11-06 12:50 EST,2025-11-06 13:40 EST,SPY,long,671.1400,671.8000,1,0.66,TP
2025-11-12 11:55 EST,2025-11-12 13:05 EST,AAPL,short,274.1000,274.9400,3,-2.52,SL
2025-11-12 13:15 EST,2025-11-12 13:20 EST,QQQ,long,620.7800,621.0600,1,0.28,TP
2025-11-12 14:20 EST,2025-11-12 14:30 EST,SPY,short,682.9600,682.7400,1,0.22,TP
2025-11-13 12:25 EST,2025-11-13 13:20 EST,QQQ,long,611.5300,608.7400,1,-2.79,SL
2025-11-17 12:45 EST,2025-11-17 12:50 EST,SPY,short,670.9200,670.7800,1,0.14,TP
2025-11-17 13:20 EST,2025-11-17 14:30 EST,AAPL,long,267.9800,267.1800,3,-2.40,EOD
2025-11-18 12:20 EST,2025-11-18 12:30 EST,QQQ,short,596.4000,595.0800,1,1.32,TP
2025-11-18 14:30 EST,2025-11-18 14:30 EST,AAPL,short,268.0500,267.8700,3,0.54,EOD
2025-11-21 12:10 EST,2025-11-21 12:35 EST,AAPL,short,270.7100,271.3000,3,-1.77,SL
2025-11-21 13:10 EST,2025-11-21 13:50 EST,SPY,short,658.4100,663.0400,1,-4.63,SL
2025-11-24 12:05 EST,2025-11-24 12:40 EST,SPY,short,667.2700,668.8000,1,-1.53,SL
2025-11-25 12:00 EST,2025-11-25 12:10 EST,AAPL,long,278.6500,278.7600,3,0.33,TP
2025-11-25 12:50 EST,2025-11-25 13:00 EST,AAPL,short,278.9400,278.5300,3,1.23,TP
2025-11-28 12:15 EST,2025-11-28 12:20 EST,AAPL,short,276.5700,276.5200,3,0.15,TP
2025-11-28 12:25 EST,2025-11-28 12:30 EST,SPY,short,682.3500,682.3150,1,0.03,TP
2025-11-28 12:35 EST,2025-11-28 12:40 EST,QQQ,short,617.4000,617.0650,1,0.33,TP
2025-12-02 13:50 EST,2025-12-02 14:05 EST,SPY,long,680.8600,681.6600,1,0.80,TP
2025-12-03 12:00 EST,2025-12-03 12:20 EST,SPY,short,682.2100,683.1400,1,-0.93,SL
2025-12-03 12:30 EST,2025-12-03 13:10 EST,AAPL,long,286.3500,285.4600,3,-2.67,SL
2025-12-04 11:55 EST,2025-12-04 12:20 EST,AAPL,long,280.7300,280.0350,3,-2.08,SL
2025-12-04 13:10 EST,2025-12-04 14:20 EST,QQQ,short,622.0400,620.9000,1,1.14,TP
2025-12-08 12:55 EST,2025-12-08 13:00 EST,QQQ,long,623.7100,624.4900,1,0.78,TP
2025-12-09 11:55 EST,2025-12-09 12:00 EST,AAPL,long,277.7700,277.9900,3,0.66,TP
2025-12-09 12:20 EST,2025-12-09 12:35 EST,SPY,short,684.6400,684.3200,1,0.32,TP
2025-12-09 13:05 EST,2025-12-09 13:45 EST,SPY,long,684.3599,683.6800,1,-0.68,SL
2025-12-10 12:10 EST,2025-12-10 12:55 EST,SPY,short,683.3000,683.9000,1,-0.60,SL
2025-12-10 13:20 EST,2025-12-10 13:30 EST,QQQ,short,623.6601,622.8600,1,0.80,TP
2025-12-12 13:50 EST,2025-12-12 14:05 EST,AAPL,short,278.6301,278.2100,3,1.26,TP
2025-12-15 11:45 EST,2025-12-15 13:10 EST,AAPL,short,274.2300,274.4100,3,-0.54,TP
2025-12-15 13:50 EST,2025-12-15 14:00 EST,QQQ,long,611.4100,612.1400,1,0.73,TP
2025-12-15 14:05 EST,2025-12-15 14:10 EST,SPY,long,681.4400,681.0200,1,-0.42,TP
2025-12-16 11:50 EST,2025-12-16 12:00 EST,SPY,long,678.0150,678.3000,1,0.28,TP
2025-12-16 12:30 EST,2025-12-16 12:40 EST,QQQ,short,609.2501,609.1600,1,0.09,TP
2025-12-16 12:45 EST,2025-12-16 12:50 EST,AAPL,short,272.7200,272.6000,3,0.36,TP
2025-12-16 14:00 EST,2025-12-16 14:05 EST,QQQ,short,610.2800,608.9200,1,1.36,TP
2025-12-16 14:15 EST,2025-12-16 14:20 EST,AAPL,short,273.1200,273.0306,3,0.27,TP
2025-12-17 13:05 EST,2025-12-17 14:30 EST,SPY,long,674.4700,672.3000,1,-2.17,EOD
2025-12-18 13:50 EST,2025-12-18 14:05 EST,QQQ,short,611.5400,609.4200,1,2.12,TP
2025-12-19 11:50 EST,2025-12-19 12:20 EST,SPY,short,679.4600,680.5050,1,-1.04,SL
2025-12-19 13:50 EST,2025-12-19 14:30 EST,QQQ,short,616.4500,617.1799,1,-0.73,EOD
2025-12-22 12:10 EST,2025-12-22 12:45 EST,QQQ,short,619.3800,619.3096,1,0.07,TP
2025-12-22 13:15 EST,2025-12-22 13:20 EST,QQQ,short,619.2350,619.1700,1,0.07,TP
2025-12-22 13:25 EST,2025-12-22 14:15 EST,SPY,short,684.5436,684.3000,1,0.24,TP
2025-12-23 13:55 EST,2025-12-23 14:30 EST,QQQ,short,621.2200,621.5150,1,-0.29,EOD
2025-12-26 11:45 EST,2025-12-26 12:00 EST,AAPL,short,274.6200,274.5900,3,0.09,TP
2025-12-26 13:05 EST,2025-12-26 13:35 EST,AAPL,long,274.6000,274.6250,3,0.07,TP
2025-12-26 13:40 EST,2025-12-26 13:50 EST,SPY,long,689.9900,690.1900,1,0.20,TP
2025-12-26 14:25 EST,2025-12-26 14:30 EST,QQQ,short,624.3199,624.3000,1,0.02,EOD
2025-12-29 11:55 EST,2025-12-29 12:10 EST,SPY,long,687.2200,686.8200,1,-0.40,SL
2025-12-29 12:50 EST,2025-12-29 13:25 EST,QQQ,long,619.5550,620.1801,1,0.63,TP
2025-12-29 13:50 EST,2025-12-29 14:05 EST,SPY,short,687.3200,687.0650,1,0.25,TP
2025-12-30 12:25 EST,2025-12-30 12:35 EST,AAPL,long,272.5201,272.7750,3,0.76,TP
2025-12-31 12:30 EST,2025-12-31 13:10 EST,AAPL,short,272.6600,272.9500,3,-0.87,SL
