entry_time,exit_time,symbol,direction,entry_price,exit_price,shares,pnl,exit_reason
2025-01-10 11:45 EST,2025-01-10 12:05 EST,QQQ,long,506.1600,504.3400,1,-1.82,SL
2025-01-16 11:50 EST,2025-01-16 12:00 EST,QQQ,long,516.0400,516.7600,1,0.72,TP
2025-01-24 12:20 EST,2025-01-24 12:30 EST,QQQ,long,531.8000,531.3500,1,-0.45,SL
2025-02-04 13:00 EST,2025-02-04 13:25 EST,QQQ,long,523.4000,523.6700,1,0.27,TP
2025-02-06 11:50 EST,2025-02-06 12:20 EST,QQQ,long,527.1800,527.6700,1,0.49,TP
2025-02-07 12:15 EST,2025-02-07 12:20 EST,QQQ,long,524.9200,523.7500,1,-1.17,SL
2025-02-10 12:25 EST,2025-02-10 12:45 EST,QQQ,long,529.0100,529.3200,1,0.31,TP
2025-02-11 13:05 EST,2025-02-11 13:35 EST,QQQ,long,527.4699,528.3000,1,0.83,TP
2025-02-13 13:10 EST,2025-02-13 13:20 EST,QQQ,long,532.1312,530.8800,1,-1.25,SL
2025-02-14 11:55 EST,2025-02-14 12:00 EST,QQQ,long,536.7500,536.8200,1,0.07,TP
2025-02-14 12:50 EST,2025-02-14 12:55 EST,QQQ,long,536.7300,537.1600,1,0.43,TP
2025-02-18 13:55 EST,2025-02-18 14:10 EST,QQQ,long,537.4807,536.3000,1,-1.18,SL
2025-02-21 12:00 EST,2025-02-21 12:15 EST,QQQ,long,533.3500,532.6800,1,-0.67,SL
2025-02-25 11:40 EST,2025-02-25 11:50 EST,QQQ,long,511.2554,512.4800,1,1.22,TP
2025-03-10 12:15 EDT,2025-03-10 12:20 EDT,QQQ,long,476.8200,475.3900,2,-2.86,SL
2025-03-11 12:20 EDT,2025-03-11 12:35 EDT,QQQ,long,471.0300,472.1000,2,2.14,TP
2025-03-13 12:10 EDT,2025-03-13 12:15 EDT,QQQ,long,470.6000,469.7700,2,-1.66,SL
2025-03-17 11:50 EDT,2025-03-17 12:10 EDT,QQQ,long,479.0900,480.2700,2,2.36,TP
2025-03-17 12:35 EDT,2025-03-17 13:05 EDT,QQQ,long,479.1100,479.0700,2,-0.08,TP
2025-03-18 12:00 EDT,2025-03-18 12:05 EDT,QQQ,long,473.7000,474.3200,2,1.24,TP
2025-03-18 14:20 EDT,2025-03-18 14:25 EDT,QQQ,long,474.3000,475.0100,2,1.42,TP
2025-03-20 11:45 EDT,2025-03-20 11:50 EDT,QQQ,long,482.6700,483.1901,2,1.04,TP
2025-03-25 12:40 EDT,2025-03-25 12:55 EDT,QQQ,long,492.0900,492.7400,2,1.30,TP
2025-03-25 13:45 EDT,2025-03-25 14:30 EDT,QQQ,long,491.9400,492.1400,2,0.40,EOD
2025-04-07 12:15 EDT,2025-04-07 12:45 EDT,QQQ,long,417.6353,418.6000,2,1.93,TP
2025-04-09 12:10 EDT,2025-04-09 12:15 EDT,QQQ,long,419.5900,421.9069,2,4.63,TP
2025-04-15 13:50 EDT,2025-04-15 13:55 EDT,QQQ,long,458.4004,456.9300,2,-2.94,SL
2025-04-23 12:55 EDT,2025-04-23 14:30 EDT,QQQ,long,456.3200,456.7600,2,0.88,EOD
2025-04-29 11:40 EDT,2025-04-29 11:45 EDT,QQQ,long,473.0100,473.7400,2,1.46,TP
2025-05-01 13:00 EDT,2025-05-01 13:10 EDT,QQQ,long,482.7500,484.4518,2,3.40,TP
2025-05-09 12:55 EDT,2025-05-09 13:25 EDT,QQQ,long,487.3275,487.4500,2,0.25,TP
2025-05-29 11:55 EDT,2025-05-29 12:00 EDT,QQQ,long,520.7000,518.4200,1,-2.28,SL
2025-05-29 14:10 EDT,2025-05-29 14:20 EDT,QQQ,long,519.5200,518.4500,1,-1.07,SL
2025-05-30 11:50 EDT,2025-05-30 12:05 EDT,QQQ,long,518.0800,517.5000,1,-0.58,SL
2025-06-11 13:00 EDT,2025-06-11 13:10 EDT,QQQ,long,534.6400,535.5400,1,0.90,TP
2025-06-17 11:40 EDT,2025-06-17 11:45 EDT,QQQ,long,532.3400,532.9500,1,0.61,TP
2025-06-18 12:35 EDT,2025-06-18 13:05 EDT,QQQ,long,531.1400,530.9000,1,-0.24,TP
2025-06-25 13:20 EDT,2025-06-25 13:45 EDT,QQQ,long,540.7100,539.9950,1,-0.72,SL
2025-06-27 12:55 EDT,2025-06-27 13:00 EDT,QQQ,long,549.1200,549.2800,1,0.16,TP
2025-06-30 13:50 EDT,2025-06-30 14:30 EDT,QQQ,long,550.1000,549.5600,1,-0.54,EOD
2025-07-01 12:10 EDT,2025-07-01 12:15 EDT,QQQ,long,546.0800,547.2900,1,1.21,TP
2025-07-07 13:15 EDT,2025-07-07 13:40 EDT,QQQ,long,552.2700,551.6400,1,-0.63,SL
2025-07-09 12:00 EDT,2025-07-09 12:50 EDT,QQQ,long,553.7800,554.9700,1,1.19,TP
2025-07-15 13:35 EDT,2025-07-15 13:55 EDT,QQQ,long,558.5900,559.2200,1,0.63,TP
2025-07-18 14:00 EDT,2025-07-18 14:05 EDT,QQQ,long,560.6400,561.0150,1,0.38,TP
2025-07-28 12:15 EDT,2025-07-28 12:20 EDT,QQQ,long,568.0777,568.3400,1,0.26,TP
2025-07-28 13:15 EDT,2025-07-28 13:20 EDT,QQQ,long,568.0100,567.5100,1,-0.50,SL
2025-08-04 11:50 EDT,2025-08-04 11:55 EDT,QQQ,long,562.1300,562.6500,1,0.52,TP
2025-08-07 12:25 EDT,2025-08-07 12:40 EDT,QQQ,long,569.4100,568.4200,1,-0.99,SL
2025-08-13 12:05 EDT,2025-08-13 12:35 EDT,QQQ,long,580.1400,579.7400,1,-0.40,TP
2025-08-13 13:55 EDT,2025-08-13 14:15 EDT,QQQ,long,579.8700,580.5100,1,0.64,TP
2025-08-15 12:10 EDT,2025-08-15 12:15 EDT,QQQ,long,577.0050,577.3750,1,0.37,TP
2025-08-15 12:35 EDT,2025-08-15 12:55 EDT,QQQ,long,576.7650,577.4200,1,0.65,TP
2025-08-18 11:50 EDT,2025-08-18 12:20 EDT,QQQ,long,576.1300,576.4200,1,0.29,TP
2025-08-29 12:05 EDT,2025-08-29 12:15 EDT,QQQ,long,569.8000,570.2550,1,0.46,TP
2025-08-29 13:45 EDT,2025-08-29 13:55 EDT,QQQ,long,569.5600,570.1100,1,0.55,TP
2025-09-02 12:45 EDT,2025-09-02 13:25 EDT,QQQ,long,561.0900,562.4300,1,1.34,TP
2025-09-03 11:40 EDT,2025-09-03 12:10 EDT,QQQ,long,569.6400,569.5100,1,-0.13,TP
2025-09-03 13:05 EDT,2025-09-03 13:20 EDT,QQQ,long,569.3500,569.9050,1,0.55,TP
2025-09-10 11:40 EDT,2025-09-10 11:50 EDT,QQQ,long,582.4700,582.7500,1,0.28,TP
2025-09-10 13:10 EDT,2025-09-10 13:20 EDT,QQQ,long,582.0500,581.6000,1,-0.45,SL
2025-09-16 12:15 EDT,2025-09-16 13:05 EDT,QQQ,long,590.9550,591.2750,1,0.32,TP
2025-09-17 12:25 EDT,2025-09-17 12:40 EDT,QQQ,long,588.4400,587.6900,1,-0.75,SL
2025-09-29 13:55 EDT,2025-09-29 14:30 EDT,QQQ,long,599.0400,599.2100,1,0.17,EOD
2025-09-30 11:45 EDT,2025-09-30 11:55 EDT,QQQ,long,597.2200,597.9700,1,0.75,TP
2025-10-02 11:45 EDT,2025-10-02 11:55 EDT,QQQ,long,603.7200,604.6125,1,0.89,TP
2025-10-07 14:10 EDT,2025-10-07 14:30 EDT,QQQ,long,603.9100,604.2900,1,0.38,EOD
2025-10-09 14:00 EDT,2025-10-09 14:30 EDT,QQQ,long,608.7980,608.7300,1,-0.07,TP
2025-10-10 14:00 EDT,2025-10-10 14:30 EDT,QQQ,long,596.2200,595.8800,1,-0.34,TP
2025-10-16 14:00 EDT,2025-10-16 14:05 EDT,QQQ,long,600.7800,599.1400,1,-1.64,SL
2025-10-29 13:40 EDT,2025-10-29 14:10 EDT,QQQ,long,634.9300,634.9850,1,0.06,TP
2025-10-30 12:05 EDT,2025-10-30 12:10 EDT,QQQ,long,629.9101,630.8000,1,0.89,TP
2025-10-30 13:20 EDT,2025-10-30 13:25 EDT,QQQ,long,629.6600,630.4450,1,0.79,TP
2025-10-31 14:05 EDT,2025-10-31 14:30 EDT,QQQ,long,628.8600,629.4000,1,0.54,EOD
2025-11-04 14:25 EST,2025-11-04 14:30 EST,QQQ,long,621.4500,620.9800,1,-0.47,EOD
2025-11-06 12:45 EST,2025-11-06 12:55 EST,QQQ,long,612.5500,613.9400,1,1.39,TP
2025-11-06 13:20 EST,2025-11-06 13:35 EST,QQQ,long,611.7000,613.6900,1,1.99,TP
2025-11-11 12:05 EST,2025-11-11 12:10 EST,QQQ,long,618.9300,619.4700,1,0.54,TP
2025-11-12 12:05 EST,2025-11-12 12:35 EST,QQQ,long,619.0200,619.7500,1,0.73,TP
2025-12-05 12:25 EST,2025-12-05 13:35 EST,QQQ,long,625.0245,626.1800,1,1.16,TP
2025-12-08 12:50 EST,2025-12-08 13:00 EST,QQQ,long,623.4900,624.4900,1,1.00,TP
2025-12-15 13:45 EST,2025-12-15 14:00 EST,QQQ,long,611.2700,612.1400,1,0.87,TP
2025-12-26 12:30 EST,2025-12-26 13:00 EST,QQQ,long,624.2400,624.0500,1,-0.19,TP
2025-12-29 12:15 EST,2025-12-29 12:30 EST,QQQ,long,619.5800,618.9800,1,-0.60,SL
2026-01-02 12:15 EST,2026-01-02 12:45 EST,QQQ,long,613.2400,612.6900,1,-0.55,TP
2026-01-02 13:05 EST,2026-01-02 13:35 EST,QQQ,long,611.9800,611.5500,1,-0.43,TP
2026-01-05 13:45 EST,2026-01-05 14:15 EST,QQQ,long,618.7100,618.2800,1,-0.43,TP
2026-01-14 12:30 EST,2026-01-14 13:00 EST,QQQ,long,616.2700,615.2400,1,-1.03,TP
2026-01-15 13:05 EST,2026-01-15 13:10 EST,QQQ,long,625.5400,625.9000,1,0.36,TP
2026-02-10 12:15 EST,2026-02-10 12:20 EST,QQQ,long,615.0300,615.4600,1,0.43,TP
2026-02-19 12:20 EST,2026-02-19 12:25 EST,QQQ,long,603.7000,604.0700,1,0.37,TP
2026-02-19 13:15 EST,2026-02-19 13:20 EST,QQQ,long,602.7300,601.3000,1,-1.43,SL
2026-02-20 12:35 EST,2026-02-20 12:55 EST,QQQ,long,605.9100,607.6400,1,1.73,TP
